suicides_no,year,country,sex,age
28,1991,Argentina,M,5-14 years
9,1991,Argentina,F,5-14 years
194,1992,Argentina,M,75+ years
500,1992,Argentina,M,55-74 years
488,1992,Argentina,M,35-54 years
227,1992,Argentina,M,25-34 years
249,1992,Argentina,M,15-24 years
46,1992,Argentina,F,75+ years
147,1992,Argentina,F,55-74 years
140,1992,Argentina,F,35-54 years
79,1992,Argentina,F,25-34 years
79,1992,Argentina,F,15-24 years
22,1992,Argentina,M,5-14 years
13,1992,Argentina,F,5-14 years
229,1993,Argentina,M,75+ years
520,1993,Argentina,M,55-74 years
495,1993,Argentina,M,35-54 years
233,1993,Argentina,M,25-34 years
58,1993,Argentina,F,75+ years
235,1993,Argentina,M,15-24 years
126,1993,Argentina,F,55-74 years
144,1993,Argentina,F,35-54 years
76,1993,Argentina,F,25-34 years
73,1993,Argentina,F,15-24 years
25,1993,Argentina,M,5-14 years
16,1993,Argentina,F,5-14 years
192,1994,Argentina,M,75+ years
509,1994,Argentina,M,55-74 years
527,1994,Argentina,M,35-54 years
226,1994,Argentina,M,25-34 years
250,1994,Argentina,M,15-24 years
135,1994,Argentina,F,55-74 years
34,1994,Argentina,F,75+ years
160,1994,Argentina,F,35-54 years
98,1994,Argentina,F,15-24 years
72,1994,Argentina,F,25-34 years
27,1994,Argentina,M,5-14 years
11,1994,Argentina,F,5-14 years
190,1995,Argentina,M,75+ years
515,1995,Argentina,M,55-74 years
485,1995,Argentina,M,35-54 years
218,1995,Argentina,M,25-34 years
277,1995,Argentina,M,15-24 years
49,1995,Argentina,F,75+ years
134,1995,Argentina,F,55-74 years
139,1995,Argentina,F,35-54 years
101,1995,Argentina,F,15-24 years
62,1995,Argentina,F,25-34 years
19,1995,Argentina,F,5-14 years
15,1995,Argentina,M,5-14 years
189,1996,Argentina,M,75+ years
464,1996,Argentina,M,55-74 years
524,1996,Argentina,M,35-54 years
226,1996,Argentina,M,25-34 years
280,1996,Argentina,M,15-24 years
59,1996,Argentina,F,75+ years
131,1996,Argentina,F,55-74 years
176,1996,Argentina,F,35-54 years
105,1996,Argentina,F,15-24 years
52,1996,Argentina,F,25-34 years
14,1996,Argentina,M,5-14 years
9,1996,Argentina,F,5-14 years
195,1997,Argentina,M,75+ years
457,1997,Argentina,M,55-74 years
501,1997,Argentina,M,35-54 years
213,1997,Argentina,M,25-34 years
260,1997,Argentina,M,15-24 years
47,1997,Argentina,F,75+ years
131,1997,Argentina,F,55-74 years
165,1997,Argentina,F,35-54 years
113,1997,Argentina,F,15-24 years
72,1997,Argentina,F,25-34 years
19,1997,Argentina,M,5-14 years
11,1997,Argentina,F,5-14 years
201,1998,Argentina,M,75+ years
518,1998,Argentina,M,55-74 years
508,1998,Argentina,M,35-54 years
327,1998,Argentina,M,15-24 years
251,1998,Argentina,M,25-34 years
53,1998,Argentina,F,75+ years
140,1998,Argentina,F,55-74 years
114,1998,Argentina,F,15-24 years
147,1998,Argentina,F,35-54 years
52,1998,Argentina,F,25-34 years
20,1998,Argentina,F,5-14 years
16,1998,Argentina,M,5-14 years
204,1999,Argentina,M,75+ years
540,1999,Argentina,M,55-74 years
545,1999,Argentina,M,35-54 years
355,1999,Argentina,M,15-24 years
265,1999,Argentina,M,25-34 years
137,1999,Argentina,F,55-74 years
44,1999,Argentina,F,75+ years
141,1999,Argentina,F,35-54 years
101,1999,Argentina,F,15-24 years
50,1999,Argentina,F,25-34 years
21,1999,Argentina,M,5-14 years
20,1999,Argentina,F,5-14 years
232,2000,Argentina,M,75+ years
602,2000,Argentina,M,55-74 years
578,2000,Argentina,M,35-54 years
463,2000,Argentina,M,15-24 years
331,2000,Argentina,M,25-34 years
133,2000,Argentina,F,55-74 years
43,2000,Argentina,F,75+ years
174,2000,Argentina,F,35-54 years
116,2000,Argentina,F,15-24 years
63,2000,Argentina,F,25-34 years
21,2000,Argentina,F,5-14 years
18,2000,Argentina,M,5-14 years
250,2001,Argentina,M,75+ years
659,2001,Argentina,M,55-74 years
518,2001,Argentina,M,15-24 years
625,2001,Argentina,M,35-54 years
375,2001,Argentina,M,25-34 years
57,2001,Argentina,F,75+ years
166,2001,Argentina,F,15-24 years
137,2001,Argentina,F,55-74 years
210,2001,Argentina,F,35-54 years
82,2001,Argentina,F,25-34 years
29,2001,Argentina,M,5-14 years
24,2001,Argentina,F,5-14 years
234,2002,Argentina,M,75+ years
615,2002,Argentina,M,55-74 years
542,2002,Argentina,M,15-24 years
412,2002,Argentina,M,25-34 years
619,2002,Argentina,M,35-54 years
179,2002,Argentina,F,55-74 years
58,2002,Argentina,F,75+ years
158,2002,Argentina,F,15-24 years
194,2002,Argentina,F,35-54 years
91,2002,Argentina,F,25-34 years
37,2002,Argentina,M,5-14 years
23,2002,Argentina,F,5-14 years
272,2003,Argentina,M,75+ years
577,2003,Argentina,M,55-74 years
638,2003,Argentina,M,15-24 years
456,2003,Argentina,M,25-34 years
625,2003,Argentina,M,35-54 years
68,2003,Argentina,F,75+ years
179,2003,Argentina,F,15-24 years
147,2003,Argentina,F,55-74 years
196,2003,Argentina,F,35-54 years
69,2003,Argentina,F,25-34 years
37,2003,Argentina,M,5-14 years
25,2003,Argentina,F,5-14 years
227,2004,Argentina,M,75+ years
500,2004,Argentina,M,55-74 years
653,2004,Argentina,M,15-24 years
445,2004,Argentina,M,25-34 years
599,2004,Argentina,M,35-54 years
159,2004,Argentina,F,15-24 years
136,2004,Argentina,F,55-74 years
50,2004,Argentina,F,75+ years
185,2004,Argentina,F,35-54 years
99,2004,Argentina,F,25-34 years
43,2004,Argentina,M,5-14 years
25,2004,Argentina,F,5-14 years
225,2005,Argentina,M,75+ years
489,2005,Argentina,M,55-74 years
638,2005,Argentina,M,15-24 years
451,2005,Argentina,M,25-34 years
539,2005,Argentina,M,35-54 years
161,2005,Argentina,F,55-74 years
59,2005,Argentina,F,75+ years
148,2005,Argentina,F,15-24 years
171,2005,Argentina,F,35-54 years
104,2005,Argentina,F,25-34 years
52,2005,Argentina,M,5-14 years
21,2005,Argentina,F,5-14 years
246,2006,Argentina,M,75+ years
656,2006,Argentina,M,15-24 years
487,2006,Argentina,M,55-74 years
483,2006,Argentina,M,25-34 years
585,2006,Argentina,M,35-54 years
175,2006,Argentina,F,15-24 years
115,2006,Argentina,F,55-74 years
160,2006,Argentina,F,35-54 years
105,2006,Argentina,F,25-34 years
31,2006,Argentina,F,75+ years
39,2006,Argentina,M,5-14 years
26,2006,Argentina,F,5-14 years
225,2007,Argentina,M,75+ years
577,2007,Argentina,M,15-24 years
438,2007,Argentina,M,55-74 years
490,2007,Argentina,M,25-34 years
571,2007,Argentina,M,35-54 years
146,2007,Argentina,F,15-24 years
126,2007,Argentina,F,25-34 years
108,2007,Argentina,F,55-74 years
155,2007,Argentina,F,35-54 years
31,2007,Argentina,F,75+ years
45,2007,Argentina,M,5-14 years
34,2007,Argentina,F,5-14 years
208,2008,Argentina,M,75+ years
625,2008,Argentina,M,15-24 years
463,2008,Argentina,M,55-74 years
531,2008,Argentina,M,25-34 years
582,2008,Argentina,M,35-54 years
180,2008,Argentina,F,15-24 years
173,2008,Argentina,F,35-54 years
108,2008,Argentina,F,55-74 years
36,2008,Argentina,F,75+ years
94,2008,Argentina,F,25-34 years
39,2008,Argentina,M,5-14 years
20,2008,Argentina,F,5-14 years
177,2009,Argentina,M,75+ years
609,2009,Argentina,M,15-24 years
434,2009,Argentina,M,55-74 years
504,2009,Argentina,M,25-34 years
542,2009,Argentina,M,35-54 years
164,2009,Argentina,F,15-24 years
112,2009,Argentina,F,55-74 years
105,2009,Argentina,F,25-34 years
150,2009,Argentina,F,35-54 years
25,2009,Argentina,F,75+ years
34,2009,Argentina,M,5-14 years
28,2009,Argentina,F,5-14 years
206,2010,Argentina,M,75+ years
683,2010,Argentina,M,15-24 years
485,2010,Argentina,M,25-34 years
397,2010,Argentina,M,55-74 years
573,2010,Argentina,M,35-54 years
150,2010,Argentina,F,15-24 years
162,2010,Argentina,F,35-54 years
101,2010,Argentina,F,25-34 years
99,2010,Argentina,F,55-74 years
34,2010,Argentina,F,75+ years
33,2010,Argentina,M,5-14 years
20,2010,Argentina,F,5-14 years
178,2011,Argentina,M,75+ years
693,2011,Argentina,M,15-24 years
510,2011,Argentina,M,25-34 years
416,2011,Argentina,M,55-74 years
504,2011,Argentina,M,35-54 years
172,2011,Argentina,F,15-24 years
157,2011,Argentina,F,35-54 years
102,2011,Argentina,F,25-34 years
93,2011,Argentina,F,55-74 years
30,2011,Argentina,F,75+ years
29,2011,Argentina,F,5-14 years
28,2011,Argentina,M,5-14 years
225,2012,Argentina,M,75+ years
745,2012,Argentina,M,15-24 years
616,2012,Argentina,M,25-34 years
451,2012,Argentina,M,55-74 years
554,2012,Argentina,M,35-54 years
204,2012,Argentina,F,15-24 years
164,2012,Argentina,F,35-54 years
108,2012,Argentina,F,55-74 years
102,2012,Argentina,F,25-34 years
33,2012,Argentina,F,75+ years
29,2012,Argentina,M,5-14 years
17,2012,Argentina,F,5-14 years
168,2013,Argentina,M,75+ years
696,2013,Argentina,M,15-24 years
499,2013,Argentina,M,25-34 years
398,2013,Argentina,M,55-74 years
604,2013,Argentina,M,35-54 years
167,2013,Argentina,F,15-24 years
102,2013,Argentina,F,25-34 years
157,2013,Argentina,F,35-54 years
102,2013,Argentina,F,55-74 years
29,2013,Argentina,F,75+ years
32,2013,Argentina,F,5-14 years
33,2013,Argentina,M,5-14 years
192,2014,Argentina,M,75+ years
738,2014,Argentina,M,15-24 years
531,2014,Argentina,M,25-34 years
405,2014,Argentina,M,55-74 years
644,2014,Argentina,M,35-54 years
204,2014,Argentina,F,15-24 years
196,2014,Argentina,F,35-54 years
118,2014,Argentina,F,25-34 years
109,2014,Argentina,F,55-74 years
25,2014,Argentina,F,75+ years
35,2014,Argentina,F,5-14 years
34,2014,Argentina,M,5-14 years
245,2015,Argentina,M,75+ years
656,2015,Argentina,M,15-24 years
431,2015,Argentina,M,55-74 years
465,2015,Argentina,M,25-34 years
633,2015,Argentina,M,35-54 years
153,2015,Argentina,F,15-24 years
125,2015,Argentina,F,55-74 years
114,2015,Argentina,F,25-34 years
166,2015,Argentina,F,35-54 years
27,2015,Argentina,F,75+ years
39,2015,Argentina,M,5-14 years
19,2015,Argentina,F,5-14 years
25,1990,Armenia,M,35-54 years
2,1990,Armenia,M,75+ years
11,1990,Armenia,M,55-74 years
16,1990,Armenia,M,25-34 years
15,1990,Armenia,F,35-54 years
10,1990,Armenia,M,15-24 years
6,1990,Armenia,F,55-74 years
1,1990,Armenia,F,75+ years
4,1990,Armenia,F,25-34 years
3,1990,Armenia,F,15-24 years
5,1991,Armenia,M,75+ years
20,1991,Armenia,M,25-34 years
11,1991,Armenia,F,55-74 years
9,1991,Armenia,M,55-74 years
14,1991,Armenia,M,35-54 years
2,1991,Armenia,F,75+ years
9,1991,Armenia,F,35-54 years
6,1991,Armenia,M,15-24 years
4,1991,Armenia,F,25-34 years
3,1992,Armenia,M,75+ years
15,1992,Armenia,M,55-74 years
22,1992,Armenia,M,35-54 years
15,1992,Armenia,M,25-34 years
10,1992,Armenia,F,55-74 years
2,1992,Armenia,F,75+ years
9,1992,Armenia,M,15-24 years
6,1992,Armenia,F,35-54 years
1,1992,Armenia,F,15-24 years
6,1993,Armenia,F,75+ years
20,1993,Armenia,M,55-74 years
2,1993,Armenia,M,75+ years
25,1993,Armenia,M,35-54 years
17,1993,Armenia,M,25-34 years
14,1993,Armenia,F,55-74 years
7,1993,Armenia,M,15-24 years
6,1993,Armenia,F,25-34 years
6,1993,Armenia,F,35-54 years
3,1993,Armenia,F,15-24 years
7,1994,Armenia,M,75+ years
5,1994,Armenia,F,75+ years
20,1994,Armenia,M,55-74 years
31,1994,Armenia,M,35-54 years
18,1994,Armenia,F,55-74 years
10,1994,Armenia,M,25-34 years
6,1994,Armenia,M,15-24 years
7,1994,Armenia,F,35-54 years
4,1994,Armenia,F,15-24 years
2,1994,Armenia,M,5-14 years
1,1994,Armenia,F,25-34 years
1,1994,Armenia,F,5-14 years
29,1995,Armenia,M,55-74 years
32,1995,Armenia,M,35-54 years
21,1995,Armenia,M,25-34 years
2,1995,Armenia,M,75+ years
2,1995,Armenia,F,75+ years
11,1995,Armenia,F,55-74 years
11,1995,Armenia,F,25-34 years
10,1995,Armenia,M,15-24 years
8,1995,Armenia,F,35-54 years
3,1995,Armenia,F,15-24 years
1,1995,Armenia,M,5-14 years
3,1996,Armenia,M,75+ years
18,1996,Armenia,M,55-74 years
24,1996,Armenia,M,35-54 years
13,1996,Armenia,M,25-34 years
12,1996,Armenia,F,55-74 years
7,1996,Armenia,F,35-54 years
4,1996,Armenia,M,15-24 years
3,1996,Armenia,F,25-34 years
1,1996,Armenia,F,15-24 years
1,1996,Armenia,F,5-14 years
1,1996,Armenia,M,5-14 years
21,1997,Armenia,M,55-74 years
26,1997,Armenia,M,35-54 years
3,1997,Armenia,F,75+ years
1,1997,Armenia,M,75+ years
9,1997,Armenia,M,25-34 years
8,1997,Armenia,F,55-74 years
4,1997,Armenia,M,15-24 years
3,1997,Armenia,F,35-54 years
1,1997,Armenia,F,25-34 years
1,1997,Armenia,M,5-14 years
2,1998,Armenia,M,75+ years
16,1998,Armenia,M,55-74 years
20,1998,Armenia,M,35-54 years
6,1998,Armenia,M,25-34 years
6,1998,Armenia,F,55-74 years
1,1998,Armenia,F,75+ years
9,1998,Armenia,F,35-54 years
4,1998,Armenia,M,15-24 years
1,1998,Armenia,F,25-34 years
1,1998,Armenia,F,5-14 years
15,1999,Armenia,M,55-74 years
3,1999,Armenia,F,75+ years
22,1999,Armenia,M,35-54 years
9,1999,Armenia,F,55-74 years
6,1999,Armenia,M,25-34 years
6,1999,Armenia,M,15-24 years
4,1999,Armenia,F,35-54 years
2,1999,Armenia,F,25-34 years
4,2000,Armenia,M,75+ years
5,2000,Armenia,F,75+ years
14,2000,Armenia,M,55-74 years
18,2000,Armenia,M,35-54 years
5,2000,Armenia,M,25-34 years
6,2000,Armenia,M,15-24 years
4,2000,Armenia,F,25-34 years
4,2000,Armenia,F,55-74 years
1,2000,Armenia,F,35-54 years
17,2001,Armenia,M,55-74 years
3,2001,Armenia,M,75+ years
4,2001,Armenia,F,75+ years
19,2001,Armenia,M,35-54 years
4,2001,Armenia,F,55-74 years
4,2001,Armenia,M,15-24 years
3,2001,Armenia,M,5-14 years
2,2001,Armenia,M,25-34 years
3,2001,Armenia,F,35-54 years
1,2001,Armenia,F,25-34 years
3,2002,Armenia,M,75+ years
19,2002,Armenia,M,55-74 years
12,2002,Armenia,M,25-34 years
22,2002,Armenia,M,35-54 years
1,2002,Armenia,F,75+ years
5,2002,Armenia,M,15-24 years
6,2002,Armenia,F,35-54 years
3,2002,Armenia,F,55-74 years
1,2002,Armenia,F,25-34 years
1,2002,Armenia,M,5-14 years
1,2002,Armenia,F,15-24 years
3,2003,Armenia,M,75+ years
14,2003,Armenia,M,55-74 years
21,2003,Armenia,M,35-54 years
3,2003,Armenia,F,75+ years
10,2003,Armenia,M,25-34 years
3,2003,Armenia,F,55-74 years
3,2003,Armenia,F,35-54 years
1,2003,Armenia,M,5-14 years
1,2003,Armenia,M,15-24 years
6,2006,Armenia,M,75+ years
21,2006,Armenia,M,55-74 years
17,2006,Armenia,M,35-54 years
10,2006,Armenia,M,15-24 years
8,2006,Armenia,F,55-74 years
6,2006,Armenia,M,25-34 years
2,2006,Armenia,F,75+ years
5,2006,Armenia,F,35-54 years
2,2006,Armenia,F,25-34 years
1,2006,Armenia,M,5-14 years
7,2007,Armenia,M,75+ years
13,2007,Armenia,M,55-74 years
19,2007,Armenia,M,35-54 years
8,2007,Armenia,F,55-74 years
7,2007,Armenia,M,15-24 years
4,2007,Armenia,M,25-34 years
8,2007,Armenia,F,35-54 years
1,2007,Armenia,F,75+ years
3,2007,Armenia,F,15-24 years
1,2007,Armenia,M,5-14 years
7,2008,Armenia,M,75+ years
18,2008,Armenia,M,55-74 years
11,2008,Armenia,M,35-54 years
10,2008,Armenia,F,35-54 years
5,2008,Armenia,F,55-74 years
4,2008,Armenia,M,25-34 years
3,2008,Armenia,M,15-24 years
2,2008,Armenia,F,25-34 years
1,2008,Armenia,F,5-14 years
1,2008,Armenia,M,5-14 years
1,2008,Armenia,F,15-24 years
8,2009,Armenia,M,75+ years
11,2009,Armenia,M,55-74 years
17,2009,Armenia,M,35-54 years
5,2009,Armenia,M,15-24 years
1,2009,Armenia,F,75+ years
3,2009,Armenia,F,55-74 years
2,2009,Armenia,M,25-34 years
2,2009,Armenia,F,25-34 years
3,2009,Armenia,F,35-54 years
1,2009,Armenia,F,15-24 years
6,2010,Armenia,M,75+ years
13,2010,Armenia,M,55-74 years
10,2010,Armenia,M,25-34 years
15,2010,Armenia,M,35-54 years
8,2010,Armenia,M,15-24 years
7,2010,Armenia,F,55-74 years
2,2010,Armenia,F,75+ years
2,2010,Armenia,F,5-14 years
5,2010,Armenia,F,35-54 years
2,2010,Armenia,M,5-14 years
2,2010,Armenia,F,15-24 years
1,2010,Armenia,F,25-34 years
6,2011,Armenia,F,75+ years
23,2011,Armenia,M,35-54 years
11,2011,Armenia,M,55-74 years
8,2011,Armenia,M,25-34 years
2,2011,Armenia,M,75+ years
7,2011,Armenia,M,15-24 years
4,2011,Armenia,F,15-24 years
3,2011,Armenia,F,55-74 years
3,2011,Armenia,F,35-54 years
5,2012,Armenia,M,75+ years
26,2012,Armenia,M,35-54 years
