suicides_no,year,country,sex,population,suicides/100k pop
21,1987,Albania,M,312900,6.71
16,1987,Albania,M,308000,5.19
14,1987,Albania,F,289700,4.83
1,1987,Albania,M,21800,4.59
9,1987,Albania,M,274300,3.28
1,1987,Albania,F,35600,2.81
6,1987,Albania,F,278800,2.15
4,1987,Albania,F,257200,1.56
1,1987,Albania,M,137500,0.73
2,1988,Albania,F,36400,5.49
17,1988,Albania,M,319200,5.33
1,1988,Albania,M,22300,4.48
14,1988,Albania,M,314100,4.46
4,1988,Albania,M,140200,2.85
8,1988,Albania,F,295600,2.71
3,1988,Albania,F,147500,2.03
5,1988,Albania,F,262400,1.91
5,1988,Albania,M,279900,1.79
4,1988,Albania,F,284500,1.41
2,1989,Albania,M,22500,8.89
18,1989,Albania,M,283600,6.35
15,1989,Albania,M,318400,4.71
6,1989,Albania,M,142100,4.22
12,1989,Albania,M,323500,3.71
7,1989,Albania,F,288600,2.43
5,1989,Albania,F,299900,1.67
2,1989,Albania,F,266300,0.75
1,1989,Albania,F,149600,0.67
12,1992,Albania,M,343800,3.49
9,1992,Albania,M,263700,3.41
5,1992,Albania,M,159500,3.13
7,1992,Albania,M,245500,2.85
7,1992,Albania,F,292400,2.39
4,1992,Albania,F,267400,1.5
2,1992,Albania,F,323100,0.62
1,1992,Albania,F,164900,0.61
18,1993,Albania,M,243300,7.4
7,1993,Albania,M,165000,4.24
1,1993,Albania,M,24200,4.13
9,1993,Albania,M,230100,3.91
10,1993,Albania,F,285300,3.51
10,1993,Albania,M,350300,2.85
7,1993,Albania,F,261800,2.67
7,1993,Albania,F,331200,2.11
2,1993,Albania,F,169500,1.18
1,1993,Albania,F,340300,0.29
1,1993,Albania,M,367000,0.27
2,1994,Albania,M,24600,8.13
11,1994,Albania,M,171400,6.42
2,1994,Albania,F,39900,5.01
6,1994,Albania,M,231400,2.59
9,1994,Albania,M,362800,2.48
6,1994,Albania,M,242200,2.48
6,1994,Albania,F,282600,2.12
4,1994,Albania,F,261100,1.53
2,1994,Albania,F,342500,0.58
1,1994,Albania,F,174600,0.57
1,1994,Albania,M,371800,0.27
13,1995,Albania,M,232900,5.58
9,1995,Albania,M,178000,5.06
2,1995,Albania,F,40800,4.9
13,1995,Albania,F,283500,4.59
11,1995,Albania,M,241200,4.56
1,1995,Albania,M,25100,3.98
14,1995,Albania,M,375900,3.72
7,1995,Albania,F,264000,2.65
8,1995,Albania,F,356400,2.24
6,1995,Albania,M,376500,1.59
2,1995,Albania,F,180400,1.11
2,1995,Albania,F,348700,0.57
2,1996,Albania,M,25400,7.87
17,1996,Albania,M,243600,6.98
14,1996,Albania,M,235300,5.95
16,1996,Albania,F,287700,5.56
2,1996,Albania,F,41200,4.85
10,1996,Albania,F,267900,3.73
12,1996,Albania,M,379600,3.16
9,1996,Albania,F,362000,2.49
3,1996,Albania,M,179900,1.67
1,1996,Albania,F,183100,0.55
2,1996,Albania,M,380400,0.53
1,1996,Albania,F,354100,0.28
36,1997,Albania,M,236000,15.25
33,1997,Albania,M,244400,13.5
3,1997,Albania,M,25400,11.81
30,1997,Albania,M,380800,7.88
21,1997,Albania,F,294000,7.14
12,1997,Albania,M,180300,6.66
16,1997,Albania,F,273900,5.84
2,1997,Albania,F,42100,4.75
7,1997,Albania,F,370100,1.89
6,1997,Albania,F,361800,1.66
4,1997,Albania,M,381500,1.05
3,1998,Albania,M,25800,11.63
27,1998,Albania,M,248800,10.85
32,1998,Albania,F,295600,10.83
26,1998,Albania,M,240400,10.82
29,1998,Albania,M,388200,7.47
9,1998,Albania,M,183800,4.9
10,1998,Albania,F,275300,3.63
6,1998,Albania,F,188200,3.19
9,1998,Albania,F,372100,2.42
2,1998,Albania,M,388400,0.51
1,1998,Albania,F,363800,0.27
3,1999,Albania,M,25900,11.58
24,1999,Albania,M,250600,9.58
4,1999,Albania,F,42400,9.43
31,1999,Albania,M,391100,7.93
19,1999,Albania,M,242300,7.84
14,1999,Albania,M,185200,7.56
19,1999,Albania,F,296800,6.4
13,1999,Albania,F,276500,4.7
6,1999,Albania,F,188800,3.18
5,1999,Albania,F,373600,1.34
1,1999,Albania,F,365200,0.27
17,2000,Albania,M,232000,7.33
10,2000,Albania,M,177400,5.64
2,2000,Albania,F,37800,5.29
1,2000,Albania,M,24900,4.02
6,2000,Albania,F,263900,2.27
5,2000,Albania,M,240000,2.08
5,2000,Albania,F,332200,1.51
3,2000,Albania,F,245800,1.22
4,2000,Albania,M,374700,1.07
1,2000,Albania,M,374900,0.27
22,2001,Albania,M,206484,10.65
34,2001,Albania,M,378826,8.98
11,2001,Albania,M,196670,5.59
2,2001,Albania,F,47254,4.23
10,2001,Albania,M,256039,3.91
9,2001,Albania,F,271359,3.32
12,2001,Albania,F,370191,3.24
1,2001,Albania,M,31044,3.22
6,2001,Albania,F,189799,3.16
6,2001,Albania,M,321556,1.87
4,2001,Albania,F,222771,1.8
2,2001,Albania,F,307356,0.65
4,2002,Albania,M,31007,12.9
23,2002,Albania,M,206286,11.15
35,2002,Albania,M,382139,9.16
13,2002,Albania,M,198130,6.56
15,2002,Albania,M,263067,5.7
14,2002,Albania,F,275970,5.07
15,2002,Albania,F,375113,4.0
7,2002,Albania,F,223685,3.13
1,2002,Albania,F,47407,2.11
4,2002,Albania,F,191712,2.09
1,2002,Albania,F,304850,0.33
1,2002,Albania,M,319473,0.31
6,2003,Albania,F,49088,12.22
16,2003,Albania,M,201520,7.94
28,2003,Albania,M,386196,7.25
15,2003,Albania,M,273235,5.49
14,2003,Albania,F,283709,4.93
9,2003,Albania,F,195699,4.6
9,2003,Albania,M,205433,4.38
9,2003,Albania,F,222941,4.04
13,2003,Albania,F,381760,3.41
1,2003,Albania,M,32667,3.06
4,2003,Albania,M,313204,1.28
4,2004,Albania,M,35526,11.26
39,2004,Albania,M,391767,9.95
16,2004,Albania,M,203938,7.85
20,2004,Albania,F,292268,6.84
19,2004,Albania,M,286768,6.63
3,2004,Albania,F,50970,5.89
11,2004,Albania,F,222389,4.95
10,2004,Albania,M,207202,4.83
17,2004,Albania,F,391436,4.34
3,2004,Albania,F,203841,1.47
3,2004,Albania,F,286705,1.05
1,2004,Albania,M,302181,0.33
8,2007,Albania,M,42366,18.88
29,2007,Albania,M,378626,7.66
14,2007,Albania,M,224160,6.25
3,2007,Albania,F,57404,5.23
9,2007,Albania,M,172494,5.22
13,2007,Albania,F,281080,4.63
13,2007,Albania,M,288349,4.51
8,2007,Albania,F,183629,4.36
9,2007,Albania,F,221120,4.07
14,2007,Albania,F,391811,3.57
4,2007,Albania,M,272497,1.47
21,2008,Albania,M,172855,12.15
37,2008,Albania,M,377119,9.81
21,2008,Albania,M,228672,9.18
5,2008,Albania,F,59369,8.42
20,2008,Albania,F,276073,7.24
9,2008,Albania,F,182663,4.93
19,2008,Albania,F,393832,4.82
2,2008,Albania,M,44574,4.49
11,2008,Albania,M,286702,3.84
7,2008,Albania,F,226448,3.09
7,2008,Albania,M,262464,2.67
1,2008,Albania,F,246288,0.41
20,2010,Albania,M,241852,8.27
20,2010,Albania,M,371611,5.38
9,2010,Albania,M,179720,5.01
2,2010,Albania,M,50767,3.94
10,2010,Albania,M,279508,3.58
6,2010,Albania,F,183579,3.27
2,2010,Albania,F,64415,3.1
12,2010,Albania,F,394593,3.04
7,2010,Albania,F,241491,2.9
6,2010,Albania,F,263581,2.28
2,2010,Albania,F,223969,0.89
1,1990,Antigua and Barbuda,M,5799,17.24
1,1993,Antigua and Barbuda,M,6668,15.0
1,2000,Antigua and Barbuda,M,3333,30.0
1,2000,Antigua and Barbuda,M,10033,9.97
2,2001,Antigua and Barbuda,M,10281,19.45
1,2003,Antigua and Barbuda,M,3594,27.82
1,2004,Antigua and Barbuda,M,3665,27.29
1,2004,Antigua and Barbuda,M,11406,8.77
1,2007,Antigua and Barbuda,M,12530,7.98
1,2015,Antigua and Barbuda,F,6403,15.62
202,1985,Argentina,M,363000,55.65
485,1985,Argentina,M,1997000,24.29
414,1985,Argentina,M,3346300,12.37
210,1985,Argentina,F,2304000,9.11
177,1985,Argentina,M,2234200,7.92
41,1985,Argentina,F,537000,7.64
156,1985,Argentina,M,2415200,6.46
142,1985,Argentina,F,3355300,4.23
65,1985,Argentina,F,2185200,2.97
69,1985,Argentina,F,2354200,2.93
16,1985,Argentina,M,3044200,0.53
11,1985,Argentina,F,2955200,0.37
230,1986,Argentina,M,365000,63.01
530,1986,Argentina,M,2008300,26.39
478,1986,Argentina,M,3365200,14.2
209,1986,Argentina,M,2246900,9.3
48,1986,Argentina,F,540200,8.89
201,1986,Argentina,F,2317100,8.67
186,1986,Argentina,M,2428900,7.66
188,1986,Argentina,F,3374300,5.57
96,1986,Argentina,F,2197600,4.37
101,1986,Argentina,F,2367600,4.27
10,1986,Argentina,M,3061400,0.33
7,1986,Argentina,F,2971900,0.24
200,1987,Argentina,M,369800,54.08
532,1987,Argentina,M,2034500,26.15
482,1987,Argentina,M,3409100,14.14
57,1987,Argentina,F,547000,10.42
224,1987,Argentina,F,2347300,9.54
192,1987,Argentina,M,2276200,8.44
179,1987,Argentina,M,2460600,7.27
209,1987,Argentina,F,3418300,6.11
89,1987,Argentina,F,2226200,4.0
93,1987,Argentina,F,2398400,3.88
15,1987,Argentina,M,3101300,0.48
14,1987,Argentina,F,3010700,0.47
216,1988,Argentina,M,392000,55.1
550,1988,Argentina,M,2079000,26.46
477,1988,Argentina,M,3503000,13.62
61,1988,Argentina,F,602000,10.13
233,1988,Argentina,F,2412000,9.66
215,1988,Argentina,M,2276000,9.45
211,1988,Argentina,M,2524000,8.36
198,1988,Argentina,F,3508000,5.64
101,1988,Argentina,F,2459000,4.11
61,1988,Argentina,F,2228000,2.74
20,1988,Argentina,M,3210000,0.62
11,1988,Argentina,F,3115000,0.35
208,1989,Argentina,M,400000,52.0
548,1989,Argentina,M,2105000,26.03
462,1989,Argentina,M,3561000,12.97
65,1989,Argentina,F,622000,10.45
219,1989,Argentina,M,2287000,9.58
201,1989,Argentina,F,2446000,8.22
186,1989,Argentina,M,2575000,7.22
166,1989,Argentina,F,3563000,4.66
83,1989,Argentina,F,2240000,3.71
80,1989,Argentina,F,2509000,3.19
18,1989,Argentina,M,3245000,0.55
11,1989,Argentina,F,3149000,0.35
226,1990,Argentina,M,411100,54.97
502,1990,Argentina,M,2128000,23.59
439,1990,Argentina,M,3619000,12.13
61,1990,Argentina,F,643000,9.49
182,1990,Argentina,M,2297000,7.92
190,1990,Argentina,F,2477000,7.67
174,1990,Argentina,M,2635000,6.6
163,1990,Argentina,F,3622000,4.5
91,1990,Argentina,F,2568000,3.54
76,1990,Argentina,F,2251000,3.38
22,1990,Argentina,M,3269000,0.67
14,1990,Argentina,F,3171000,0.44
184,1991,Argentina,M,396000,46.46
449,1991,Argentina,M,2130000,21.08
398,1991,Argentina,M,3580000,11.12
214,1991,Argentina,M,2277000,9.4
50,1991,Argentina,F,658000,7.6
169,1991,Argentina,F,2508000,6.74
179,1991,Argentina,M,2738000,6.54
133,1991,Argentina,F,3691000,3.6
77,1991,Argentina,F,2310000,3.33
61,1991,Argentina,F,2689000,2.27
28,1991,Argentina,M,3369000,0.83
9,1991,Argentina,F,3277000,0.27
194,1992,Argentina,M,404900,47.91
500,1992,Argentina,M,2150500,23.25
488,1992,Argentina,M,3616600,13.49
227,1992,Argentina,M,2306200,9.84
249,1992,Argentina,M,2834100,8.79
46,1992,Argentina,F,678000,6.78
147,1992,Argentina,F,2538400,5.79
140,1992,Argentina,F,3755500,3.73
79,1992,Argentina,F,2329100,3.39
79,1992,Argentina,F,2783500,2.84
22,1992,Argentina,M,3371800,0.65
13,1992,Argentina,F,3276800,0.4
229,1993,Argentina,M,413600,55.37
520,1993,Argentina,M,2171500,23.95
495,1993,Argentina,M,3672300,13.48
233,1993,Argentina,M,2336300,9.97
58,1993,Argentina,F,698400,8.3
235,1993,Argentina,M,2932300,8.01
126,1993,Argentina,F,2568300,4.91
144,1993,Argentina,F,3820400,3.77
76,1993,Argentina,F,2347800,3.24
73,1993,Argentina,F,2879300,2.54
25,1993,Argentina,M,3367500,0.74
16,1993,Argentina,F,3269800,0.49
192,1994,Argentina,M,423100,45.38
509,1994,Argentina,M,2192500,23.22
527,1994,Argentina,M,3729600,14.13
226,1994,Argentina,M,2369000,9.54
250,1994,Argentina,M,3027200,8.26
135,1994,Argentina,F,2597400,5.2
34,1994,Argentina,F,719700,4.72
160,1994,Argentina,F,3885600,4.12
98,1994,Argentina,F,2971300,3.3
72,1994,Argentina,F,2369900,3.04
27,1994,Argentina,M,3363000,0.8
11,1994,Argentina,F,3262900,0.34
190,1995,Argentina,M,433800,43.8
515,1995,Argentina,M,2214000,23.26
485,1995,Argentina,M,3787800,12.8
218,1995,Argentina,M,2404900,9.06
277,1995,Argentina,M,3112100,8.9
49,1995,Argentina,F,742200,6.6
134,1995,Argentina,F,2625900,5.1
139,1995,Argentina,F,3950100,3.52
101,1995,Argentina,F,3053300,3.31
62,1995,Argentina,F,2396900,2.59
19,1995,Argentina,F,3261100,0.58
15,1995,Argentina,M,3363300,0.45
189,1996,Argentina,M,445800,42.4
464,1996,Argentina,M,2235900,20.75
524,1996,Argentina,M,3847300,13.62
226,1996,Argentina,M,2442900,9.25
280,1996,Argentina,M,3185600,8.79
59,1996,Argentina,F,766100,7.7
131,1996,Argentina,F,2653800,4.94
176,1996,Argentina,F,4014100,4.38
105,1996,Argentina,F,3123600,3.36
52,1996,Argentina,F,2428400,2.14
14,1996,Argentina,M,3370400,0.42
9,1996,Argentina,F,3266800,0.28
195,1997,Argentina,M,490152,39.78
457,1997,Argentina,M,2252148,20.29
501,1997,Argentina,M,3934581,12.73
213,1997,Argentina,M,2460112,8.66
260,1997,Argentina,M,3198193,8.13
47,1997,Argentina,F,854095,5.5
131,1997,Argentina,F,2668528,4.91
165,1997,Argentina,F,4083427,4.04
113,1997,Argentina,F,3161000,3.57
72,1997,Argentina,F,2474330,2.91
19,1997,Argentina,M,3429860,0.55
11,1997,Argentina,F,3327355,0.33
201,1998,Argentina,M,504164,39.87
518,1998,Argentina,M,2274972,22.77
508,1998,Argentina,M,3990829,12.73
327,1998,Argentina,M,3243944,10.08
251,1998,Argentina,M,2497189,10.05
53,1998,Argentina,F,883724,6.0
140,1998,Argentina,F,2696429,5.19
114,1998,Argentina,F,3200362,3.56
147,1998,Argentina,F,4143203,3.55
52,1998,Argentina,F,2512005,2.07
20,1998,Argentina,F,3353473,0.6
16,1998,Argentina,M,3456965,0.46
204,1999,Argentina,M,515800,39.55
540,1999,Argentina,M,2301840,23.46
545,1999,Argentina,M,4045105,13.47
355,1999,Argentina,M,3279728,10.82
265,1999,Argentina,M,2543861,10.42
137,1999,Argentina,F,2727054,5.02
44,1999,Argentina,F,912898,4.82
141,1999,Argentina,F,4200203,3.36
101,1999,Argentina,F,3229424,3.13
50,1999,Argentina,F,2559176,1.95
21,1999,Argentina,M,3482230,0.6
20,1999,Argentina,F,3377543,0.59
232,2000,Argentina,M,525161,44.18
602,2000,Argentina,M,2333377,25.8
578,2000,Argentina,M,4096814,14.11
463,2000,Argentina,M,3306109,14.0
331,2000,Argentina,M,2602314,12.72
133,2000,Argentina,F,2760512,4.82
43,2000,Argentina,F,941957,4.56
174,2000,Argentina,F,4253771,4.09
116,2000,Argentina,F,3249247,3.57
63,2000,Argentina,F,2617723,2.41
21,2000,Argentina,F,3396135,0.62
18,2000,Argentina,M,3502413,0.51
250,2001,Argentina,M,547473,45.66
659,2001,Argentina,M,2358654,27.94
518,2001,Argentina,M,3325440,15.58
625,2001,Argentina,M,4145861,15.08
375,2001,Argentina,M,2675285,14.02
57,2001,Argentina,F,978346,5.83
166,2001,Argentina,F,3262682,5.09
137,2001,Argentina,F,2788628,4.91
210,2001,Argentina,F,4306817,4.88
82,2001,Argentina,F,2690206,3.05
29,2001,Argentina,M,3519935,0.82
24,2001,Argentina,F,3411619,0.7
234,2002,Argentina,M,566447,41.31
615,2002,Argentina,M,2387478,25.76
542,2002,Argentina,M,3331708,16.27
412,2002,Argentina,M,2758283,14.94
619,2002,Argentina,M,4191889,14.77
179,2002,Argentina,F,2819507,6.35
58,2002,Argentina,F,1012399,5.73
158,2002,Argentina,F,3263542,4.84
194,2002,Argentina,F,4355651,4.45
91,2002,Argentina,F,2772560,3.28
37,2002,Argentina,M,3529201,1.05
23,2002,Argentina,F,3418842,0.67
272,2003,Argentina,M,581842,46.75
577,2003,Argentina,M,2420864,23.83
638,2003,Argentina,M,3331226,19.15
456,2003,Argentina,M,2845955,16.02
625,2003,Argentina,M,4237124,14.75
68,2003,Argentina,F,1044188,6.51
179,2003,Argentina,F,3258029,5.49
147,2003,Argentina,F,2854473,5.15
196,2003,Argentina,F,4402438,4.45
69,2003,Argentina,F,2859003,2.41
37,2003,Argentina,M,3531507,1.05
25,2003,Argentina,F,3419258,0.73
227,2004,Argentina,M,593409,38.25
500,2004,Argentina,M,2459960,20.33
653,2004,Argentina,M,3333328,19.59
445,2004,Argentina,M,2930079,15.19
599,2004,Argentina,M,4284709,13.98
159,2004,Argentina,F,3255244,4.88
136,2004,Argentina,F,2895423,4.7
50,2004,Argentina,F,1073648,4.66
185,2004,Argentina,F,4450210,4.16
99,2004,Argentina,F,2940630,3.37
43,2004,Argentina,M,3530061,1.22
25,2004,Argentina,F,3416244,0.73
225,2005,Argentina,M,601176,37.43
489,2005,Argentina,M,2505136,19.52
638,2005,Argentina,M,3343414,19.08
451,2005,Argentina,M,3004991,15.01
539,2005,Argentina,M,4336453,12.43
161,2005,Argentina,F,2943135,5.47
59,2005,Argentina,F,1101024,5.36
148,2005,Argentina,F,3260468,4.54
171,2005,Argentina,F,4500787,3.8
104,2005,Argentina,F,3011376,3.45
52,2005,Argentina,M,3528848,1.47
21,2005,Argentina,F,3413809,0.62
246,2006,Argentina,M,620010,39.68
656,2006,Argentina,M,3357424,19.54
487,2006,Argentina,M,2540712,19.17
483,2006,Argentina,M,3068991,15.74
585,2006,Argentina,M,4383730,13.34
175,2006,Argentina,F,3271703,5.35
115,2006,Argentina,F,2983954,3.85
160,2006,Argentina,F,4549471,3.52
105,2006,Argentina,F,3070419,3.42
31,2006,Argentina,F,1132977,2.74
39,2006,Argentina,M,3527369,1.11
26,2006,Argentina,F,3412126,0.76
225,2007,Argentina,M,634995,35.43
577,2007,Argentina,M,3381171,17.07
438,2007,Argentina,M,2582754,16.96
490,2007,Argentina,M,3125322,15.68
571,2007,Argentina,M,4436541,12.87
146,2007,Argentina,F,3292790,4.43
126,2007,Argentina,F,3120162,4.04
108,2007,Argentina,F,3033008,3.56
155,2007,Argentina,F,4601874,3.37
31,2007,Argentina,F,1161794,2.67
45,2007,Argentina,M,3530454,1.27
34,2007,Argentina,F,3414627,1.0
208,2008,Argentina,M,646185,32.19
625,2008,Argentina,M,3410092,18.33
463,2008,Argentina,M,2630686,17.6
531,2008,Argentina,M,3172743,16.74
582,2008,Argentina,M,4496672,12.94
180,2008,Argentina,F,3319037,5.42
173,2008,Argentina,F,4660022,3.71
108,2008,Argentina,F,3088727,3.5
36,2008,Argentina,F,1188016,3.03
94,2008,Argentina,F,3159967,2.97
39,2008,Argentina,M,3539110,1.1
20,2008,Argentina,F,3422263,0.58
177,2009,Argentina,M,653486,27.09
609,2009,Argentina,M,3436265,17.72
434,2009,Argentina,M,2683502,16.17
504,2009,Argentina,M,3210244,15.7
542,2009,Argentina,M,4566645,11.87
164,2009,Argentina,F,3342385,4.91
112,2009,Argentina,F,3148915,3.56
105,2009,Argentina,F,3189773,3.29
150,2009,Argentina,F,4726814,3.17
25,2009,Argentina,F,1211934,2.06
34,2009,Argentina,M,3553154,0.96
28,2009,Argentina,F,3434884,0.82
206,2010,Argentina,M,657096,31.35
683,2010,Argentina,M,3455127,19.77
485,2010,Argentina,M,3237957,14.98
397,2010,Argentina,M,2740656,14.49
573,2010,Argentina,M,4648068,12.33
150,2010,Argentina,F,3358103,4.47
162,2010,Argentina,F,4804030,3.37
101,2010,Argentina,F,3210247,3.15
99,2010,Argentina,F,3212253,3.08
34,2010,Argentina,F,1234182,2.75
33,2010,Argentina,M,3570316,0.92
20,2010,Argentina,F,3450419,0.58
178,2011,Argentina,M,674738,26.38
693,2011,Argentina,M,3471151,19.96
510,2011,Argentina,M,3258804,15.65
416,2011,Argentina,M,2788575,14.92
504,2011,Argentina,M,4738525,10.64
172,2011,Argentina,F,3372659,5.1
157,2011,Argentina,F,4893085,3.21
102,2011,Argentina,F,3224774,3.16
93,2011,Argentina,F,3268753,2.85
30,2011,Argentina,F,1260121,2.38
29,2011,Argentina,F,3472180,0.84
28,2011,Argentina,M,3592374,0.78
225,2012,Argentina,M,688560,32.68
745,2012,Argentina,M,3480902,21.4
616,2012,Argentina,M,3268154,18.85
451,2012,Argentina,M,2839783,15.88
554,2012,Argentina,M,4841057,11.44
204,2012,Argentina,F,3380770,6.03
164,2012,Argentina,F,4993138,3.28
108,2012,Argentina,F,3328463,3.24
102,2012,Argentina,F,3228400,3.16
33,2012,Argentina,F,1282726,2.57
29,2012,Argentina,M,3615254,0.8
17,2012,Argentina,F,3494571,0.49
168,2013,Argentina,M,699046,24.03
696,2013,Argentina,M,3486661,19.96
499,2013,Argentina,M,3271373,15.25
398,2013,Argentina,M,2894129,13.75
604,2013,Argentina,M,4950850,12.2
167,2013,Argentina,F,3384642,4.93
102,2013,Argentina,F,3226464,3.16
157,2013,Argentina,F,5099167,3.08
102,2013,Argentina,F,3390673,3.01
29,2013,Argentina,F,1303352,2.23
32,2013,Argentina,F,3515742,0.91
33,2013,Argentina,M,3637026,0.91
192,2014,Argentina,M,706897,27.16
738,2014,Argentina,M,3492454,21.13
531,2014,Argentina,M,3276955,16.2
405,2014,Argentina,M,2951616,13.72
644,2014,Argentina,M,5060862,12.73
204,2014,Argentina,F,3388324,6.02
196,2014,Argentina,F,5203634,3.77
118,2014,Argentina,F,3227239,3.66
109,2014,Argentina,F,3454994,3.15
25,2014,Argentina,F,1323654,1.89
35,2014,Argentina,F,3533961,0.99
34,2014,Argentina,M,3655965,0.93
245,2015,Argentina,M,712691,34.38
656,2015,Argentina,M,3500580,18.74
431,2015,Argentina,M,3011963,14.31
465,2015,Argentina,M,3289927,14.13
633,2015,Argentina,M,5166179,12.25
153,2015,Argentina,F,3394201,4.51
125,2015,Argentina,F,3520779,3.55
114,2015,Argentina,F,3235582,3.52
166,2015,Argentina,F,5301368,3.13
27,2015,Argentina,F,1344980,2.01
39,2015,Argentina,M,3672155,1.06
19,2015,Argentina,F,3549219,0.54
25,1990,Armenia,M,332700,7.51
2,1990,Armenia,M,26900,7.43
11,1990,Armenia,M,183800,5.98
16,1990,Armenia,M,307100,5.21
15,1990,Armenia,F,358000,4.19
10,1990,Armenia,M,272500,3.67
6,1990,Armenia,F,224100,2.68
1,1990,Armenia,F,48900,2.04
4,1990,Armenia,F,320700,1.25
3,1990,Armenia,F,258500,1.16
5,1991,Armenia,M,28800,17.36
20,1991,Armenia,M,313800,6.37
11,1991,Armenia,F,247900,4.44
9,1991,Armenia,M,203100,4.43
14,1991,Armenia,M,348500,4.02
2,1991,Armenia,F,52900,3.78
9,1991,Armenia,F,396300,2.27
6,1991,Armenia,M,295300,2.03
4,1991,Armenia,F,342100,1.17
3,1992,Armenia,M,28200,10.64
15,1992,Armenia,M,215100,6.97
22,1992,Armenia,M,360400,6.1
15,1992,Armenia,M,312600,4.8
10,1992,Armenia,F,263400,3.8
2,1992,Armenia,F,53400,3.75
9,1992,Armenia,M,300300,3.0
6,1992,Armenia,F,410800,1.46
1,1992,Armenia,F,290100,0.34
6,1993,Armenia,F,53100,11.3
20,1993,Armenia,M,226400,8.83
2,1993,Armenia,M,28400,7.04
25,1993,Armenia,M,371900,6.72
17,1993,Armenia,M,305600,5.56
14,1993,Armenia,F,276100,5.07
7,1993,Armenia,M,304800,2.3
6,1993,Armenia,F,335900,1.79
6,1993,Armenia,F,424000,1.42
3,1993,Armenia,F,293900,1.02
7,1994,Armenia,M,28200,24.82
5,1994,Armenia,F,51700,9.67
20,1994,Armenia,M,235500,8.49
31,1994,Armenia,M,382500,8.1
18,1994,Armenia,F,286000,6.29
10,1994,Armenia,M,297000,3.37
6,1994,Armenia,M,308300,1.95
7,1994,Armenia,F,437100,1.6
4,1994,Armenia,F,297600,1.34
2,1994,Armenia,M,385400,0.52
1,1994,Armenia,F,326200,0.31
1,1994,Armenia,F,367000,0.27
29,1995,Armenia,M,242300,11.97
32,1995,Armenia,M,395200,8.1
21,1995,Armenia,M,289500,7.25
2,1995,Armenia,M,28000,7.14
2,1995,Armenia,F,51400,3.89
11,1995,Armenia,F,295200,3.73
11,1995,Armenia,F,313300,3.51
10,1995,Armenia,M,313600,3.19
8,1995,Armenia,F,453600,1.76
3,1995,Armenia,F,303200,0.99
1,1995,Armenia,M,388200,0.26
3,1996,Armenia,M,27900,10.75
18,1996,Armenia,M,246200,7.31
24,1996,Armenia,M,409800,5.86
13,1996,Armenia,M,284300,4.57
12,1996,Armenia,F,301900,3.97
7,1996,Armenia,F,471200,1.49
4,1996,Armenia,M,320000,1.25
3,1996,Armenia,F,301500,1.0
1,1996,Armenia,F,310200,0.32
1,1996,Armenia,F,371900,0.27
1,1996,Armenia,M,390300,0.26
21,1997,Armenia,M,246200,8.53
26,1997,Armenia,M,426000,6.1
3,1997,Armenia,F,51400,5.84
1,1997,Armenia,M,28500,3.51
9,1997,Armenia,M,282000,3.19
8,1997,Armenia,F,304400,2.63
4,1997,Armenia,M,327300,1.22
3,1997,Armenia,F,489900,0.61
1,1997,Armenia,F,294200,0.34
1,1997,Armenia,M,389500,0.26
2,1998,Armenia,M,29600,6.76
16,1998,Armenia,M,243300,6.58
20,1998,Armenia,M,445000,4.49
6,1998,Armenia,M,280200,2.14
6,1998,Armenia,F,302000,1.99
1,1998,Armenia,F,53100,1.88
9,1998,Armenia,F,509800,1.77
4,1998,Armenia,M,335100,1.19
1,1998,Armenia,F,289300,0.35
1,1998,Armenia,F,364600,0.27
15,1999,Armenia,M,238100,6.3
3,1999,Armenia,F,56800,5.28
22,1999,Armenia,M,464300,4.74
9,1999,Armenia,F,296800,3.03
6,1999,Armenia,M,279800,2.14
6,1999,Armenia,M,344000,1.74
4,1999,Armenia,F,530700,0.75
2,1999,Armenia,F,284300,0.7
4,2000,Armenia,M,37600,10.64
5,2000,Armenia,F,66500,7.52
14,2000,Armenia,M,234300,5.98
18,2000,Armenia,M,481100,3.74
5,2000,Armenia,M,283300,1.76
6,2000,Armenia,M,358000,1.68
4,2000,Armenia,F,280400,1.43
4,2000,Armenia,F,292700,1.37
1,2000,Armenia,F,555300,0.18
17,2001,Armenia,M,227605,7.47
3,2001,Armenia,M,40190,7.46
4,2001,Armenia,F,66283,6.03
19,2001,Armenia,M,493922,3.85
4,2001,Armenia,F,289601,1.38
4,2001,Armenia,M,361248,1.11
3,2001,Armenia,M,337767,0.89
2,2001,Armenia,M,284346,0.7
3,2001,Armenia,F,563626,0.53
1,2001,Armenia,F,279953,0.36
3,2002,Armenia,M,29067,10.32
19,2002,Armenia,M,196525,9.67
12,2002,Armenia,M,206403,5.81
22,2002,Armenia,M,418464,5.26
1,2002,Armenia,F,58553,1.71
5,2002,Armenia,M,293350,1.7
6,2002,Armenia,F,469992,1.28
3,2002,Armenia,F,251856,1.19
1,2002,Armenia,F,222943,0.45
1,2002,Armenia,M,294209,0.34
1,2002,Armenia,F,294739,0.34
3,2003,Armenia,M,32495,9.23
14,2003,Armenia,M,194165,7.21
21,2003,Armenia,M,423001,4.96
3,2003,Armenia,F,62935,4.77
10,2003,Armenia,M,210715,4.75
3,2003,Armenia,F,249909,1.2
3,2003,Armenia,F,473959,0.63
1,2003,Armenia,M,283952,0.35
